notice_id,topic_id,topic,notice
1,INTRO,Introduction,
2,INTRO_CLIMATE_CHANGE,What is Climate Change?,
3,ENERGY_BALANCE,Energy Balance and Climate,
4,LAYER_GREENHOUSE,Greenhouse Effect,
5,SPECTRAL_GREENHOUSE,Greenhouse Gases,"If you have a laptop or tablet that you can bring to class and connect to the internet, I recommend you do so today so you can work along with me in using the \MODTRAN\ model.
"
6,VERTICAL_STRUCTURE,Vertical Structure of the Atmosphere,"If you have a laptop or tablet that you can bring to class and connect to the internet, I recommend you do so today so you can work along with me in using the online  models.
"
7,GREENHOUSE_REVIEW,Review of Greenhouse Effect,"If you have a laptop or tablet that you can bring to class and connect to the internet, I recommend you do so today so you can work along with me in using the online models."
8,FEEDBACKS,Feedbacks,"If you have a laptop or tablet that you can bring to class and connect to the internet, I recommend you do so today so you can work along with me in using the online models to examine climate feedbacks."
9,OCEAN_BIOSPHERE_FEEDBACKS,Feedbacks (part 2),
10,OCEAN_BREATHES,The Carbon Cycle,
11,ROCKS_BREATHE,The Carbon Cycle (part 2),"If you have a laptop or tablet that you can bring to class and connect to the internet, I recommend you do so today so you can work along with me in using the \GEOCARB\ model."
12,PERTURBED_CARBON,The Perturbed Carbon Cycle,
13,PALEO_PROXIES,Climates of the Past,
14,PLEISTOCENE,Climates of the Past (part 2),
15,CLIMATE_REVIEW,Review,
16,CLIMATE_MODELS,Climate Models,
17,FUTURE_CLIMATES,Future Climate Change,
18,REVIEW_FOR_MIDTERM,Catching up and Review,
19,MIDTERM_TEST,TEST #1,
20,ABRUPT_CLIMATE_CHANGE,Future Climate Change (part 2),
21,CLIMATE_IMAPACTS_1,Impacts of Climate Change,
22,CLIMATE_IMAPACTS_2,Impacts of Climate Change (part 2),
24,POLICY_MYTHS,Policy Myths,
25,KAYA_IDENTITY,Energy Use and Conservation,
26,TOP_DOWN_DECARBONIZATION,Global Decarbonization Policies,
27,BOTTOM_UP_DECARBONIZATION,Global Decarbonization Policies (part 2),
28,RENEWABLE_ENERGY,The Case for Renewables,
29,GEOENGINEERING_SOLAR_RADIATION,Geoengineering,
30,GEOENGINEERING_CARBON_CAPTURE,Geoengineering (part 2),
31,COST_OF_MITIGATION,The cost of slowing Climate Change,
32,DISCOUNTING,Discounting and the Value of Time,
33,POLICY_GOALS,Goals of Climate Policy,
34,COSTS_AND_BENEFITS,Costs and Benefits,
35,SOCIAL_COST_OF_CARBON,Pricing Carbon,
36,CARBON_PRICING_INSTRUMENTS,Carbon Pricing Instruments,
37,CARBON_TRADING_GAME,Class Exercise,
38,CARBON_TRADING_REVIEW,Reprise of economics and carbon trading,
42,POLICY_DIRECTIONS,Another direction for climate policy,
43,GLOBAL_WARMING_GRIDLOCK,A global viewpoint,
44,BEYOND_GRIDLOCK,Second-Best policies,
45,PRAGMATIC_POLICIES,A pragmatic future for climate policy,
46,SEMESTER_REVIEW,Review,
